Date,Open,High,Low,Close,Change (Pips),Change (%)
Jul 05 2017 12:00,1.29189,1.29193,1.29089,1.29111,-7.8,-0.06%
Jul 05 2017 11:00,1.29098,1.29216,1.29034,1.2919,9.2,0.07%
Jul 05 2017 10:00,1.29148,1.29198,1.28998,1.29096,-5.2,-0.04%
Jul 05 2017 09:00,1.29022,1.29227,1.28936,1.29144,12.2,0.09%
Jul 05 2017 08:00,1.29157,1.29224,1.28944,1.29023,-13.4,-0.10%
Jul 05 2017 07:00,1.29242,1.29275,1.29013,1.29153,-8.9,-0.07%
Jul 05 2017 06:00,1.29198,1.29372,1.29119,1.29241,4.3,0.03%
Jul 05 2017 05:00,1.29241,1.29245,1.29161,1.29197,-4.4,-0.03%
Jul 05 2017 04:00,1.29324,1.29332,1.29226,1.29243,-8.1,-0.06%
Jul 05 2017 03:00,1.29374,1.29408,1.29312,1.29325,-4.9,-0.04%
Jul 05 2017 02:00,1.29447,1.29476,1.2937,1.2937,-7.7,-0.06%
Jul 05 2017 01:00,1.29342,1.29476,1.2933,1.29452,11,0.08%
Jul 05 2017 00:00,1.29355,1.29402,1.29329,1.29341,-1.4,-0.01%
Jul 04 2017 23:00,1.29274,1.29361,1.29261,1.29355,8.1,0.06%
Jul 04 2017 22:00,1.29227,1.29276,1.29197,1.29272,4.5,0.03%
Jul 04 2017 21:00,1.29163,1.29258,1.291,1.29227,6.4,0.05%
Jul 04 2017 20:00,1.2921,1.29255,1.29171,1.29186,-2.4,-0.02%
Jul 04 2017 19:00,1.292,1.29265,1.29185,1.29209,0.9,0.01%
Jul 04 2017 18:00,1.29244,1.29268,1.29167,1.29197,-4.7,-0.04%
Jul 04 2017 17:00,1.29267,1.29306,1.29189,1.29246,-2.1,-0.02%
Jul 04 2017 16:00,1.29187,1.29323,1.2912,1.29262,7.5,0.06%
Jul 04 2017 15:00,1.29297,1.29321,1.29174,1.29186,-11.1,-0.09%
Jul 04 2017 14:00,1.29274,1.29432,1.29265,1.293,2.6,0.02%
Jul 04 2017 13:00,1.29295,1.29341,1.29174,1.29272,-2.3,-0.02%
Jul 04 2017 12:00,1.29305,1.29331,1.29179,1.29294,-1.1,-0.01%
Jul 04 2017 11:00,1.29381,1.29395,1.29254,1.29301,-8,-0.06%
Jul 04 2017 10:00,1.29284,1.29433,1.29273,1.29384,10,0.08%
Jul 04 2017 09:00,1.29243,1.29286,1.29149,1.2928,3.7,0.03%
Jul 04 2017 08:00,1.2947,1.295,1.29178,1.29244,-22.6,-0.17%
Jul 04 2017 07:00,1.2956,1.29591,1.29352,1.29473,-8.7,-0.07%
Jul 04 2017 06:00,1.29391,1.2959,1.2933,1.29561,17,0.13%
Jul 04 2017 05:00,1.29506,1.29508,1.29222,1.29385,-12.1,-0.09%
Jul 04 2017 04:00,1.2946,1.29508,1.29428,1.29507,4.7,0.04%
Jul 04 2017 03:00,1.29359,1.29484,1.29357,1.29461,10.2,0.08%
Jul 04 2017 02:00,1.29418,1.29431,1.29338,1.29362,-5.6,-0.04%
Jul 04 2017 01:00,1.29511,1.2955,1.29367,1.29413,-9.8,-0.08%
Jul 04 2017 00:00,1.29478,1.29549,1.29437,1.29512,3.4,0.03%
Jul 03 2017 23:00,1.29425,1.29488,1.29421,1.2948,5.5,0.04%
Jul 03 2017 22:00,1.29377,1.29455,1.29352,1.29427,5,0.04%
Jul 03 2017 21:00,1.29328,1.2949,1.29308,1.29378,5,0.04%
Jul 03 2017 20:00,1.29441,1.29441,1.29343,1.29399,-4.2,-0.03%
Jul 03 2017 19:00,1.29367,1.29442,1.29367,1.29442,7.5,0.06%
Jul 03 2017 18:00,1.29445,1.29445,1.29357,1.29367,-7.8,-0.06%
Jul 03 2017 17:00,1.29569,1.29628,1.29388,1.29444,-12.5,-0.10%
Jul 03 2017 16:00,1.29497,1.2959,1.29475,1.29567,7,0.05%
Jul 03 2017 15:00,1.29377,1.29553,1.29325,1.295,12.3,0.09%
Jul 03 2017 14:00,1.29528,1.29534,1.29316,1.29373,-15.5,-0.12%
Jul 03 2017 13:00,1.29656,1.29667,1.29503,1.29537,-11.9,-0.09%
Jul 03 2017 12:00,1.29533,1.29789,1.29463,1.2966,12.7,0.10%
Jul 03 2017 11:00,1.29569,1.29611,1.29434,1.29528,-4.1,-0.03%
Jul 03 2017 10:00,1.2974,1.29761,1.29536,1.29568,-17.2,-0.13%
Jul 03 2017 09:00,1.29627,1.29766,1.29627,1.29743,11.6,0.09%
Jul 03 2017 08:00,1.30066,1.30067,1.29618,1.29626,-44,-0.34%
Jul 03 2017 07:00,1.30057,1.30232,1.30035,1.30068,1.1,0.01%
Jul 03 2017 06:00,1.29943,1.30092,1.29932,1.30052,10.9,0.08%
Jul 03 2017 05:00,1.29958,1.29992,1.29924,1.29946,-1.2,-0.01%
Jul 03 2017 04:00,1.29989,1.30003,1.29951,1.2996,-2.9,-0.02%
Jul 03 2017 03:00,1.30024,1.3006,1.29971,1.29987,-3.7,-0.03%
Jul 03 2017 02:00,1.30047,1.30086,1.30026,1.30028,-1.9,-0.01%
Jul 03 2017 01:00,1.30071,1.30097,1.30032,1.30048,-2.3,-0.02%
Jul 03 2017 00:00,1.30153,1.30176,1.30035,1.30068,-8.5,-0.07%
Jul 02 2017 23:00,1.30175,1.3018,1.30127,1.30149,-2.6,-0.02%
Jul 02 2017 22:00,1.30167,1.30242,1.30162,1.30175,0.8,0.01%
Jul 02 2017 21:00,1.29994,1.30172,1.29994,1.30171,17.7,0.14%
Jun 30 2017 20:00,1.30247,1.30286,1.3023,1.30272,2.5,0.02%
Jun 30 2017 19:00,1.30138,1.30258,1.30135,1.30249,11.1,0.09%
Jun 30 2017 18:00,1.30034,1.30206,1.30003,1.30137,10.3,0.08%
Jun 30 2017 17:00,1.30074,1.3011,1.2998,1.30031,-4.3,-0.03%
Jun 30 2017 16:00,1.29938,1.30124,1.29926,1.30077,13.9,0.11%
Jun 30 2017 15:00,1.29887,1.29948,1.2982,1.29935,4.8,0.04%
Jun 30 2017 14:00,1.29748,1.29901,1.29445,1.29886,13.8,0.11%
Jun 30 2017 13:00,1.29693,1.29814,1.29599,1.29751,5.8,0.04%
Jun 30 2017 12:00,1.29784,1.29859,1.296,1.29697,-8.7,-0.07%
Jun 30 2017 11:00,1.29764,1.29841,1.29668,1.2978,1.6,0.01%
Jun 30 2017 10:00,1.29917,1.2994,1.29591,1.29765,-15.2,-0.12%
Jun 30 2017 09:00,1.29851,1.29924,1.29765,1.29914,6.3,0.05%
Jun 30 2017 08:00,1.30102,1.30195,1.29829,1.29855,-24.7,-0.19%
Jun 30 2017 07:00,1.30055,1.3021,1.3,1.30103,4.8,0.04%
Jun 30 2017 06:00,1.3009,1.30207,1.29989,1.30054,-3.6,-0.03%
Jun 30 2017 05:00,1.30241,1.30243,1.30049,1.30087,-15.4,-0.12%
