Date,Open,High,Low,Close,Change (Pips),Change (%)
Jul 05 2017 12:00,0.87716,0.87741,0.87665,0.8768,-3.6,-0.04%
Jul 05 2017 11:00,0.8769,0.8777,0.87674,0.87713,2.3,0.03%
Jul 05 2017 10:00,0.87683,0.8776,0.87616,0.87693,1,0.01%
Jul 05 2017 09:00,0.87902,0.87906,0.87647,0.87682,-22,-0.25%
Jul 05 2017 08:00,0.87983,0.8801,0.87876,0.87905,-7.8,-0.09%
Jul 05 2017 07:00,0.87892,0.88086,0.8788,0.87978,8.6,0.10%
Jul 05 2017 06:00,0.87871,0.87955,0.87827,0.87894,2.3,0.03%
Jul 05 2017 05:00,0.87847,0.87887,0.8784,0.87866,1.9,0.02%
Jul 05 2017 04:00,0.87824,0.8787,0.87803,0.87848,2.4,0.03%
Jul 05 2017 03:00,0.87827,0.87834,0.87791,0.87828,0.1,0.00%
Jul 05 2017 02:00,0.87802,0.87827,0.87778,0.87824,2.2,0.03%
Jul 05 2017 01:00,0.87814,0.87828,0.87787,0.87801,-1.3,-0.01%
Jul 05 2017 00:00,0.87809,0.87835,0.87785,0.87817,0.8,0.01%
Jul 04 2017 23:00,0.8782,0.87828,0.87797,0.87812,-0.8,-0.01%
Jul 04 2017 22:00,0.87795,0.87857,0.87783,0.87821,2.6,0.03%
Jul 04 2017 21:00,0.87765,0.87839,0.87752,0.87796,3.1,0.04%
Jul 04 2017 20:00,0.87797,0.87833,0.87775,0.878,0.3,0.00%
Jul 04 2017 19:00,0.87831,0.87843,0.87784,0.87795,-3.6,-0.04%
Jul 04 2017 18:00,0.87833,0.87866,0.87787,0.87834,0.1,0.00%
Jul 04 2017 17:00,0.87809,0.87852,0.8779,0.87832,2.3,0.03%
Jul 04 2017 16:00,0.87833,0.87861,0.87728,0.87811,-2.2,-0.03%
Jul 04 2017 15:00,0.87791,0.87846,0.87761,0.8783,3.9,0.04%
Jul 04 2017 14:00,0.87751,0.87819,0.8766,0.87791,4,0.05%
Jul 04 2017 13:00,0.87723,0.87804,0.87713,0.87751,2.8,0.03%
Jul 04 2017 12:00,0.87778,0.87807,0.87709,0.87724,-5.4,-0.06%
Jul 04 2017 11:00,0.87735,0.87781,0.87691,0.8778,4.5,0.05%
Jul 04 2017 10:00,0.87784,0.8779,0.87684,0.8773,-5.4,-0.06%
Jul 04 2017 09:00,0.87844,0.8786,0.87782,0.87787,-5.7,-0.06%
Jul 04 2017 08:00,0.87753,0.87907,0.87733,0.87846,9.3,0.11%
Jul 04 2017 07:00,0.87774,0.87826,0.87699,0.87753,-2.1,-0.02%
Jul 04 2017 06:00,0.87702,0.87775,0.87656,0.87773,7.1,0.08%
Jul 04 2017 05:00,0.87804,0.87838,0.87637,0.87702,-10.2,-0.12%
Jul 04 2017 04:00,0.87838,0.87857,0.87801,0.87806,-3.2,-0.04%
Jul 04 2017 03:00,0.87858,0.87863,0.87828,0.87839,-1.9,-0.02%
Jul 04 2017 02:00,0.87842,0.87879,0.87824,0.87856,1.4,0.02%
Jul 04 2017 01:00,0.87815,0.87874,0.87783,0.87845,3,0.03%
Jul 04 2017 00:00,0.87825,0.87858,0.87798,0.87817,-0.8,-0.01%
Jul 03 2017 23:00,0.87817,0.87854,0.87816,0.87825,0.8,0.01%
Jul 03 2017 22:00,0.87831,0.87838,0.87794,0.87817,-1.4,-0.02%
Jul 03 2017 21:00,0.87821,0.87851,0.87688,0.87827,0.6,0.01%
Jul 03 2017 20:00,0.87781,0.87846,0.87778,0.87818,3.7,0.04%
Jul 03 2017 19:00,0.87792,0.87801,0.87775,0.87779,-1.3,-0.01%
Jul 03 2017 18:00,0.87765,0.87816,0.87763,0.87793,2.8,0.03%
Jul 03 2017 17:00,0.87657,0.87795,0.87651,0.87768,11.1,0.13%
Jul 03 2017 16:00,0.87773,0.87805,0.87653,0.87656,-11.7,-0.13%
Jul 03 2017 15:00,0.87867,0.87898,0.87717,0.87774,-9.3,-0.11%
Jul 03 2017 14:00,0.87738,0.879,0.8772,0.87864,12.6,0.14%
Jul 03 2017 13:00,0.87671,0.87807,0.87651,0.87746,7.5,0.09%
Jul 03 2017 12:00,0.87736,0.8779,0.87631,0.87673,-6.3,-0.07%
Jul 03 2017 11:00,0.87786,0.8784,0.87707,0.87735,-5.1,-0.06%
Jul 03 2017 10:00,0.87654,0.87789,0.87641,0.87782,12.8,0.15%
Jul 03 2017 09:00,0.87778,0.87791,0.87657,0.87659,-11.9,-0.14%
Jul 03 2017 08:00,0.87602,0.87789,0.87589,0.87775,17.3,0.20%
Jul 03 2017 07:00,0.87741,0.87741,0.87569,0.87605,-13.6,-0.16%
Jul 03 2017 06:00,0.87784,0.87794,0.87672,0.8774,-4.4,-0.05%
