Date,Open,High,Low,Close,Change (Pips),Change (%)
Jul 05 2017 21:00,1.13515,1.13522,1.13482,1.13506,-0.9,-0.01%
Jul 05 2017 20:00,1.1342,1.13525,1.13419,1.13515,9.5,0.08%
Jul 05 2017 19:00,1.13414,1.1352,1.13382,1.13424,1,0.01%
Jul 05 2017 18:00,1.13403,1.13562,1.13226,1.13411,0.8,0.01%
Jul 05 2017 17:00,1.13384,1.13437,1.13352,1.13405,2.1,0.02%
Jul 05 2017 16:00,1.13358,1.13408,1.13297,1.13386,2.8,0.02%
Jul 05 2017 15:00,1.13294,1.13443,1.13276,1.13357,6.3,0.06%
Jul 05 2017 14:00,1.13301,1.13372,1.13258,1.13292,-0.9,-0.01%
Jul 05 2017 13:00,1.13203,1.13302,1.13179,1.13296,9.3,0.08%
Jul 05 2017 12:00,1.13323,1.13346,1.13181,1.13204,-11.9,-0.11%
Jul 05 2017 11:00,1.13211,1.13367,1.13195,1.13319,10.8,0.10%
Jul 05 2017 10:00,1.13239,1.13276,1.13125,1.13212,-2.7,-0.02%
Jul 05 2017 09:00,1.13419,1.13444,1.1318,1.13242,-17.7,-0.16%
Jul 05 2017 08:00,1.13632,1.13648,1.13407,1.13417,-21.5,-0.19%
Jul 05 2017 07:00,1.13601,1.13679,1.13579,1.1363,2.9,0.03%
Jul 05 2017 06:00,1.13534,1.13668,1.13534,1.13603,6.9,0.06%
Jul 05 2017 05:00,1.13545,1.13574,1.13496,1.13534,-1.1,-0.01%
Jul 05 2017 04:00,1.13591,1.13591,1.13534,1.13546,-4.5,-0.04%
Jul 05 2017 03:00,1.13625,1.13625,1.13565,1.13586,-3.9,-0.03%
Jul 05 2017 02:00,1.13665,1.13685,1.1361,1.13626,-3.9,-0.03%
Jul 05 2017 01:00,1.1359,1.13681,1.13557,1.13671,8.1,0.07%
Jul 05 2017 00:00,1.13595,1.13645,1.13543,1.13587,-0.8,-0.01%
Jul 04 2017 23:00,1.13531,1.13608,1.13515,1.13593,6.2,0.05%
Jul 04 2017 22:00,1.13466,1.13557,1.13451,1.13533,6.7,0.06%
Jul 04 2017 21:00,1.13405,1.13494,1.13405,1.13468,6.3,0.06%
Jul 04 2017 20:00,1.13458,1.135,1.1343,1.13443,-1.5,-0.01%
Jul 04 2017 19:00,1.13497,1.13513,1.13456,1.13463,-3.4,-0.03%
Jul 04 2017 18:00,1.13514,1.13532,1.13479,1.13503,-1.1,-0.01%
Jul 04 2017 17:00,1.13511,1.13539,1.13466,1.13515,0.4,0.00%
Jul 04 2017 16:00,1.13477,1.13521,1.13432,1.13509,3.2,0.03%
Jul 04 2017 15:00,1.13519,1.1353,1.13456,1.13476,-4.3,-0.04%
Jul 04 2017 14:00,1.13447,1.13543,1.13418,1.13518,7.1,0.06%
Jul 04 2017 13:00,1.1343,1.13481,1.13382,1.13447,1.7,0.01%
Jul 04 2017 12:00,1.13504,1.13552,1.13397,1.13426,-7.8,-0.07%
Jul 04 2017 11:00,1.13513,1.13513,1.13417,1.13501,-1.2,-0.01%
Jul 04 2017 10:00,1.13501,1.13531,1.13468,1.13518,1.7,0.01%
Jul 04 2017 09:00,1.13542,1.13545,1.13423,1.13499,-4.3,-0.04%
Jul 04 2017 08:00,1.13614,1.13635,1.1347,1.13536,-7.8,-0.07%
Jul 04 2017 07:00,1.13722,1.13742,1.1356,1.13613,-10.9,-0.10%
Jul 04 2017 06:00,1.13481,1.13725,1.13434,1.13723,24.2,0.21%
Jul 04 2017 05:00,1.13722,1.13728,1.13363,1.13484,-23.8,-0.21%
Jul 04 2017 04:00,1.13723,1.13741,1.13685,1.1372,-0.3,0.00%
Jul 04 2017 03:00,1.13662,1.13741,1.13657,1.13727,6.5,0.06%
Jul 04 2017 02:00,1.13693,1.13704,1.1364,1.13662,-3.1,-0.03%
Jul 04 2017 01:00,1.13738,1.13741,1.13673,1.13688,-5,-0.04%
Jul 04 2017 00:00,1.13722,1.13768,1.13707,1.13737,1.5,0.01%
Jul 03 2017 23:00,1.13671,1.13735,1.1367,1.13724,5.3,0.05%
Jul 03 2017 22:00,1.13634,1.13709,1.13628,1.1367,3.6,0.03%
Jul 03 2017 21:00,1.13639,1.13662,1.13557,1.13633,-0.6,-0.01%
Jul 03 2017 20:00,1.13629,1.13668,1.13623,1.13642,1.3,0.01%
