Date,Open,High,Low,Close,Change (Pips),Change (%)
Jul 04 2017 16:00,95.938,95.982,95.917,95.918,-2,-0.02%
Jul 04 2017 15:00,95.909,95.952,95.897,95.952,4.3,0.04%
Jul 04 2017 14:00,95.957,95.981,95.88,95.901,-5.6,-0.06%
Jul 04 2017 13:00,95.989,96.039,95.959,95.969,-2,-0.02%
Jul 04 2017 12:00,95.94,96.02,95.92,96,6,0.06%
Jul 04 2017 11:00,95.961,96.001,95.951,95.951,-1,-0.01%
Jul 04 2017 10:00,95.99,96,95.94,95.95,-4,-0.04%
Jul 04 2017 09:00,95.937,96.027,95.937,95.977,4,0.04%
Jul 04 2017 08:00,95.86,95.99,95.86,95.95,9,0.09%
Jul 04 2017 07:00,95.757,95.887,95.747,95.867,11,0.11%
Jul 04 2017 06:00,95.927,95.977,95.757,95.767,-16,-0.17%
Jul 04 2017 05:00,95.791,96.001,95.781,95.941,15,0.16%
Jul 04 2017 04:00,95.802,95.842,95.792,95.802,0,0.00%
Jul 04 2017 03:00,95.872,95.872,95.792,95.812,-6,-0.06%
Jul 04 2017 02:00,95.837,95.877,95.837,95.857,2,0.02%
Jul 04 2017 01:00,95.809,95.859,95.799,95.849,4,0.04%
Jul 04 2017 00:00,95.849,95.849,95.789,95.799,-5,-0.05%
Jul 03 2017 20:00,95.901,95.911,95.891,95.901,0,0.00%
Jul 03 2017 19:00,95.941,95.941,95.911,95.911,-3,-0.03%
Jul 03 2017 18:00,95.931,95.941,95.921,95.931,0,0.00%
Jul 03 2017 17:00,95.908,95.918,95.868,95.918,1,0.01%
Jul 03 2017 16:00,95.861,95.931,95.831,95.921,6,0.06%
Jul 03 2017 15:00,95.838,95.948,95.838,95.868,3,0.03%
Jul 03 2017 14:00,95.879,95.879,95.779,95.849,-3,-0.03%
Jul 03 2017 13:00,95.782,95.852,95.772,95.782,0,0.00%
Jul 03 2017 12:00,95.822,95.832,95.722,95.772,-5,-0.05%
Jul 03 2017 11:00,95.752,95.842,95.732,95.812,6,0.06%
Jul 03 2017 10:00,95.73,95.78,95.72,95.76,3,0.03%
Jul 03 2017 09:00,95.718,95.738,95.668,95.738,2,0.02%
Jul 03 2017 08:00,95.588,95.708,95.578,95.708,12,0.13%
Jul 03 2017 07:00,95.469,95.599,95.459,95.579,11,0.12%
Jul 03 2017 06:00,95.502,95.532,95.442,95.462,-4,-0.04%
Jul 03 2017 05:00,95.471,95.501,95.461,95.491,2,0.02%
Jul 03 2017 04:00,95.501,95.511,95.461,95.481,-2,-0.02%
Jul 03 2017 03:00,95.429,95.509,95.419,95.509,8,0.08%
Jul 03 2017 02:00,95.401,95.441,95.391,95.441,4,0.04%
Jul 03 2017 01:00,95.38,95.41,95.37,95.41,3,0.03%
Jul 03 2017 00:00,95.342,95.392,95.332,95.392,5,0.05%
Jun 30 2017 20:00,95.371,95.371,95.351,95.351,-2,-0.02%
Jun 30 2017 19:00,95.379,95.409,95.359,95.359,-2,-0.02%
Jun 30 2017 18:00,95.4,95.44,95.36,95.39,-1,-0.01%
Jun 30 2017 17:00,95.41,95.44,95.39,95.41,0,0.00%
Jun 30 2017 16:00,95.432,95.472,95.402,95.422,-1,-0.01%
Jun 30 2017 15:00,95.448,95.468,95.388,95.438,-1,-0.01%
Jun 30 2017 14:00,95.357,95.517,95.297,95.457,10,0.10%
Jun 30 2017 13:00,95.408,95.418,95.338,95.348,-6,-0.06%
Jun 30 2017 12:00,95.429,95.469,95.309,95.419,-1,-0.01%
Jun 30 2017 11:00,95.438,95.448,95.388,95.438,0,0.00%
Jun 30 2017 10:00,95.4,95.48,95.39,95.45,5,0.05%
Jun 30 2017 09:00,95.432,95.502,95.392,95.412,-2,-0.02%
Jun 30 2017 08:00,95.381,95.481,95.361,95.421,4,0.04%
Jun 30 2017 07:00,95.332,95.452,95.272,95.392,6,0.06%
Jun 30 2017 06:00,95.299,95.339,95.229,95.339,4,0.04%
Jun 30 2017 05:00,95.208,95.308,95.208,95.288,8,0.08%
Jun 30 2017 04:00,95.211,95.241,95.201,95.221,1,0.01%
Jun 30 2017 03:00,95.238,95.238,95.188,95.218,-2,-0.02%
Jun 30 2017 02:00,95.222,95.242,95.172,95.232,1,0.01%
Jun 30 2017 01:00,95.287,95.297,95.197,95.227,-6,-0.06%
Jun 30 2017 00:00,95.257,95.297,95.227,95.297,4,0.04%
Jun 29 2017 20:00,95.27,95.29,95.24,95.27,0,0.00%
Jun 29 2017 19:00,95.308,95.318,95.218,95.258,-5,-0.05%
Jun 29 2017 18:00,95.249,95.339,95.219,95.319,7,0.07%
Jun 29 2017 17:00,95.328,95.358,95.218,95.238,-9,-0.09%
Jun 29 2017 16:00,95.429,95.449,95.319,95.339,-9,-0.09%
Jun 29 2017 15:00,95.397,95.437,95.357,95.417,2,0.02%
Jun 29 2017 14:00,95.568,95.578,95.378,95.408,-16,-0.17%
Jun 29 2017 13:00,95.642,95.652,95.482,95.582,-6,-0.06%
Jun 29 2017 12:00,95.568,95.688,95.508,95.628,6,0.06%
Jun 29 2017 11:00,95.542,95.662,95.532,95.582,4,0.04%
Jun 29 2017 10:00,95.499,95.579,95.489,95.549,5,0.05%
Jun 29 2017 09:00,95.447,95.577,95.417,95.507,6,0.06%
Jun 29 2017 08:00,95.438,95.518,95.388,95.438,0,0.00%
Jun 29 2017 07:00,95.541,95.541,95.381,95.431,-11,-0.12%
Jun 29 2017 06:00,95.539,95.589,95.479,95.549,1,0.01%
Jun 29 2017 05:00,95.592,95.612,95.532,95.532,-6,-0.06%
Jun 29 2017 04:00,95.558,95.618,95.548,95.578,2,0.02%
Jun 29 2017 03:00,95.56,95.58,95.53,95.55,-1,-0.01%
Jun 29 2017 02:00,95.55,95.56,95.45,95.55,0,0.00%
Jun 29 2017 01:00,95.67,95.67,95.52,95.54,-13,-0.14%
Jun 29 2017 00:00,95.722,95.722,95.642,95.662,-6,-0.06%
Jun 28 2017 20:00,95.681,95.731,95.671,95.731,5,0.05%
Jun 28 2017 19:00,95.689,95.719,95.649,95.669,-2,-0.02%
Jun 28 2017 18:00,95.718,95.728,95.668,95.678,-4,-0.04%
Jun 28 2017 17:00,95.722,95.742,95.682,95.732,1,0.01%
Jun 28 2017 16:00,95.782,95.792,95.682,95.712,-7,-0.07%
Jun 28 2017 15:00,95.78,95.87,95.76,95.77,-1,-0.01%
Jun 28 2017 14:00,95.777,95.777,95.617,95.767,-1,-0.01%
Jun 28 2017 13:00,96.072,96.082,95.772,95.792,-28,-0.29%
Jun 28 2017 12:00,95.817,96.267,95.797,96.077,26,0.27%
Jun 28 2017 11:00,95.937,95.947,95.817,95.827,-11,-0.11%
Jun 28 2017 10:00,95.958,95.968,95.878,95.928,-3,-0.03%
Jun 28 2017 09:00,95.952,96.002,95.922,95.972,2,0.02%
Jun 28 2017 08:00,95.87,95.94,95.81,95.94,7,0.07%
Jun 28 2017 07:00,96.032,96.052,95.822,95.882,-15,-0.16%
Jun 28 2017 06:00,95.942,96.042,95.872,96.042,10,0.10%
Jun 28 2017 05:00,96.039,96.049,95.919,95.949,-9,-0.09%
Jun 28 2017 04:00,96.007,96.037,95.977,96.027,2,0.02%
Jun 28 2017 03:00,96.01,96.02,96,96.02,1,0.01%
Jun 28 2017 02:00,96,96.02,95.98,96,0,0.00%
Jun 28 2017 01:00,96.077,96.107,95.977,95.987,-9,-0.09%
Jun 28 2017 00:00,96.109,96.119,96.059,96.089,-2,-0.02%
Jun 27 2017 20:00,96.031,96.141,96.021,96.131,10,0.10%
Jun 27 2017 19:00,96.038,96.058,95.988,96.018,-2,-0.02%
Jun 27 2017 18:00,96.167,96.167,96.037,96.047,-12,-0.12%
Jun 27 2017 17:00,96.307,96.327,96.137,96.157,-15,-0.16%
Jun 27 2017 16:00,96.222,96.342,96.172,96.302,8,0.08%
Jun 27 2017 15:00,96.432,96.452,96.182,96.212,-22,-0.23%
Jun 27 2017 14:00,96.421,96.501,96.391,96.441,2,0.02%
Jun 27 2017 13:00,96.468,96.468,96.278,96.408,-6,-0.06%
Jun 27 2017 12:00,96.53,96.54,96.44,96.48,-5,-0.05%
Jun 27 2017 11:00,96.56,96.57,96.49,96.54,-2,-0.02%
Jun 27 2017 10:00,96.588,96.658,96.528,96.548,-4,-0.04%
Jun 27 2017 09:00,96.609,96.649,96.529,96.599,-1,-0.01%
Jun 27 2017 08:00,96.988,96.998,96.568,96.618,-37,-0.38%
Jun 27 2017 07:00,97.011,97.041,96.981,97.001,-1,-0.01%
Jun 27 2017 06:00,97.001,97.021,96.911,97.001,0,0.00%
Jun 27 2017 05:00,97.008,97.008,96.978,96.988,-2,-0.02%
Jun 27 2017 04:00,97.029,97.039,97.019,97.019,-1,-0.01%
Jun 27 2017 03:00,97.039,97.049,97.009,97.019,-2,-0.02%
Jun 27 2017 02:00,97.09,97.1,97.03,97.05,-4,-0.04%
Jun 27 2017 01:00,97.057,97.097,97.057,97.077,2,0.02%
Jun 27 2017 00:00,97.077,97.097,97.047,97.067,-1,-0.01%
Jun 26 2017 20:00,97.078,97.078,97.058,97.068,-1,-0.01%
Jun 26 2017 19:00,97.061,97.101,97.061,97.071,1,0.01%
Jun 26 2017 18:00,96.977,97.107,96.957,97.067,9,0.09%
Jun 26 2017 17:00,97.008,97.008,96.958,96.968,-4,-0.04%
Jun 26 2017 16:00,96.921,97.021,96.911,97.001,8,0.08%
Jun 26 2017 15:00,96.872,96.952,96.862,96.912,4,0.04%
Jun 26 2017 14:00,96.859,96.879,96.769,96.859,0,0.00%
Jun 26 2017 13:00,96.81,96.87,96.78,96.87,6,0.06%
Jun 26 2017 12:00,97.027,97.037,96.757,96.817,-21,-0.22%
Jun 26 2017 11:00,97.052,97.102,97.012,97.042,-1,-0.01%
Jun 26 2017 10:00,97.102,97.102,97.002,97.042,-6,-0.06%
Jun 26 2017 09:00,97.02,97.1,97.01,97.09,7,0.07%
Jun 26 2017 08:00,96.889,97.039,96.869,97.009,12,0.12%
Jun 26 2017 07:00,96.937,96.947,96.827,96.877,-6,-0.06%
Jun 26 2017 06:00,96.907,96.967,96.897,96.927,2,0.02%
Jun 26 2017 05:00,96.937,96.947,96.907,96.917,-2,-0.02%
Jun 26 2017 04:00,96.901,96.931,96.891,96.931,3,0.03%
Jun 26 2017 03:00,96.897,96.927,96.877,96.887,-1,-0.01%
Jun 26 2017 02:00,96.921,96.931,96.881,96.891,-3,-0.03%
Jun 26 2017 01:00,96.899,96.929,96.889,96.929,3,0.03%
Jun 26 2017 00:00,96.88,96.91,96.86,96.89,1,0.01%
Jun 23 2017 20:00,96.91,96.91,96.9,96.9,-1,-0.01%
Jun 23 2017 19:00,96.89,96.91,96.88,96.9,1,0.01%
Jun 23 2017 18:00,96.902,96.902,96.862,96.902,0,0.00%
Jun 23 2017 17:00,96.899,96.919,96.889,96.889,-1,-0.01%
Jun 23 2017 16:00,96.908,96.938,96.878,96.908,0,0.00%
Jun 23 2017 15:00,96.857,96.897,96.837,96.897,4,0.04%
Jun 23 2017 14:00,96.937,96.997,96.807,96.867,-7,-0.07%
Jun 23 2017 13:00,97.068,97.068,96.948,96.948,-12,-0.12%
Jun 23 2017 12:00,97.021,97.081,97.001,97.061,4,0.04%
Jun 23 2017 11:00,97.058,97.088,97.008,97.028,-3,-0.03%
Jun 23 2017 10:00,97.037,97.067,96.987,97.047,1,0.01%
Jun 23 2017 09:00,97.017,97.097,97.007,97.027,1,0.01%
Jun 23 2017 08:00,96.998,97.018,96.898,97.008,1,0.01%
Jun 23 2017 07:00,97.03,97.06,96.97,97.01,-2,-0.02%
Jun 23 2017 06:00,97.09,97.1,97,97.02,-7,-0.07%
Jun 23 2017 05:00,97.112,97.122,97.072,97.102,-1,-0.01%
Jun 23 2017 04:00,97.112,97.132,97.112,97.122,1,0.01%
Jun 23 2017 03:00,97.158,97.158,97.118,97.118,-4,-0.04%
Jun 23 2017 02:00,97.147,97.177,97.137,97.147,0,0.00%
Jun 23 2017 01:00,97.208,97.238,97.138,97.138,-7,-0.07%
Jun 23 2017 00:00,97.221,97.251,97.201,97.221,0,0.00%
Jun 22 2017 20:00,97.189,97.219,97.179,97.209,2,0.02%
Jun 22 2017 19:00,97.26,97.26,97.18,97.2,-6,-0.06%
Jun 22 2017 18:00,97.288,97.298,97.218,97.248,-4,-0.04%
Jun 22 2017 17:00,97.192,97.302,97.182,97.282,9,0.09%
Jun 22 2017 16:00,97.251,97.261,97.191,97.201,-5,-0.05%
Jun 22 2017 15:00,97.191,97.271,97.161,97.261,7,0.07%
Jun 22 2017 14:00,97.17,97.23,97.13,97.2,3,0.03%
Jun 22 2017 13:00,97.197,97.227,97.147,97.157,-4,-0.04%
Jun 22 2017 12:00,97.16,97.23,97.12,97.19,3,0.03%
Jun 22 2017 11:00,97.169,97.229,97.159,97.169,0,0.00%
Jun 22 2017 10:00,97.142,97.192,97.142,97.162,2,0.02%
Jun 22 2017 09:00,97.131,97.151,97.091,97.151,2,0.02%
Jun 22 2017 08:00,97.16,97.19,97.12,97.14,-2,-0.02%
Jun 22 2017 07:00,97.101,97.211,97.101,97.171,7,0.07%
Jun 22 2017 06:00,97.077,97.137,97.067,97.107,3,0.03%
Jun 22 2017 05:00,97.117,97.127,97.067,97.067,-5,-0.05%
Jun 22 2017 04:00,97.121,97.131,97.111,97.111,-1,-0.01%
Jun 22 2017 03:00,97.119,97.139,97.109,97.129,1,0.01%
Jun 22 2017 02:00,97.171,97.171,97.101,97.131,-4,-0.04%
Jun 22 2017 01:00,97.149,97.169,97.139,97.159,1,0.01%
Jun 22 2017 00:00,97.149,97.179,97.119,97.159,1,0.01%
Jun 21 2017 20:00,97.169,97.199,97.149,97.159,-1,-0.01%
Jun 21 2017 19:00,97.161,97.191,97.131,97.161,0,0.00%
Jun 21 2017 18:00,97.272,97.272,97.142,97.172,-10,-0.10%
Jun 21 2017 17:00,97.279,97.319,97.249,97.259,-2,-0.02%
Jun 21 2017 16:00,97.317,97.337,97.287,97.287,-3,-0.03%
Jun 21 2017 15:00,97.319,97.349,97.269,97.329,1,0.01%
Jun 21 2017 14:00,97.34,97.37,97.27,97.31,-3,-0.03%
Jun 21 2017 13:00,97.227,97.377,97.227,97.327,10,0.10%
Jun 21 2017 12:00,97.262,97.282,97.202,97.242,-2,-0.02%
Jun 21 2017 11:00,97.241,97.281,97.181,97.271,3,0.03%
Jun 21 2017 10:00,97.27,97.3,97.24,97.25,-2,-0.02%
Jun 21 2017 09:00,97.307,97.317,97.267,97.277,-3,-0.03%
Jun 21 2017 08:00,97.371,97.421,97.301,97.321,-5,-0.05%
Jun 21 2017 07:00,97.367,97.387,97.337,97.377,1,0.01%
Jun 21 2017 06:00,97.382,97.382,97.332,97.382,0,0.00%
Jun 21 2017 05:00,97.331,97.381,97.331,97.371,4,0.04%
Jun 21 2017 04:00,97.319,97.339,97.299,97.339,2,0.02%
Jun 21 2017 03:00,97.34,97.34,97.29,97.31,-3,-0.03%
Jun 21 2017 02:00,97.329,97.339,97.319,97.329,0,0.00%
Jun 21 2017 01:00,97.34,97.35,97.33,97.34,0,0.00%
Jun 21 2017 00:00,97.327,97.357,97.317,97.347,2,0.02%
Jun 20 2017 20:00,97.377,97.397,97.337,97.347,-3,-0.03%
Jun 20 2017 19:00,97.372,97.402,97.352,97.392,2,0.02%
Jun 20 2017 18:00,97.408,97.418,97.338,97.358,-5,-0.05%
Jun 20 2017 17:00,97.408,97.448,97.388,97.398,-1,-0.01%
Jun 20 2017 16:00,97.431,97.461,97.391,97.421,-1,-0.01%
Jun 20 2017 15:00,97.441,97.471,97.411,97.421,-2,-0.02%
Jun 20 2017 14:00,97.379,97.439,97.309,97.429,5,0.05%
Jun 20 2017 13:00,97.242,97.392,97.222,97.392,15,0.15%
Jun 20 2017 12:00,97.237,97.257,97.147,97.247,1,0.01%
Jun 20 2017 11:00,97.241,97.291,97.231,97.251,1,0.01%
Jun 20 2017 10:00,97.139,97.249,97.129,97.229,9,0.09%
Jun 20 2017 09:00,97.172,97.202,97.152,97.152,-2,-0.02%
Jun 20 2017 08:00,97.179,97.229,97.149,97.159,-2,-0.02%
Jun 20 2017 07:00,97.157,97.257,97.157,97.167,1,0.01%
Jun 20 2017 06:00,97.122,97.172,97.082,97.172,5,0.05%
Jun 20 2017 05:00,97.149,97.169,97.109,97.129,-2,-0.02%
Jun 20 2017 04:00,97.169,97.169,97.159,97.159,-1,-0.01%
Jun 20 2017 03:00,97.15,97.18,97.14,97.16,1,0.01%
Jun 20 2017 02:00,97.148,97.178,97.138,97.158,1,0.01%
Jun 20 2017 01:00,97.227,97.237,97.147,97.157,-7,-0.07%
Jun 20 2017 00:00,97.242,97.262,97.202,97.242,0,0.00%
Jun 19 2017 20:00,97.191,97.211,97.161,97.181,-1,-0.01%
Jun 19 2017 19:00,97.22,97.23,97.18,97.2,-2,-0.02%
Jun 19 2017 18:00,97.178,97.228,97.168,97.208,3,0.03%
Jun 19 2017 17:00,97.101,97.201,97.101,97.171,7,0.07%
Jun 19 2017 16:00,97.071,97.131,97.061,97.111,4,0.04%
Jun 19 2017 15:00,97.02,97.09,97.01,97.08,6,0.06%
Jun 19 2017 14:00,97.008,97.038,96.958,97.028,2,0.02%
Jun 19 2017 13:00,96.939,97.029,96.919,96.999,6,0.06%
Jun 19 2017 12:00,96.848,96.978,96.778,96.928,8,0.08%
Jun 19 2017 11:00,96.74,96.85,96.7,96.84,10,0.10%
Jun 19 2017 10:00,96.828,96.838,96.748,96.748,-8,-0.08%
Jun 19 2017 09:00,96.822,96.852,96.772,96.822,0,0.00%
Jun 19 2017 08:00,96.852,96.872,96.802,96.832,-2,-0.02%
Jun 19 2017 07:00,96.879,96.899,96.849,96.859,-2,-0.02%
Jun 16 2017 18:00,97.09,97.11,97.06,97.1,1,0.01%
Jun 16 2017 17:00,97.141,97.151,97.081,97.101,-4,-0.04%
Jun 16 2017 16:00,97.132,97.162,97.112,97.132,0,0.00%
Jun 16 2017 15:00,97.058,97.158,97.038,97.118,6,0.06%
Jun 16 2017 14:00,97.232,97.262,97.042,97.052,-18,-0.19%
Jun 16 2017 13:00,97.267,97.317,97.227,97.237,-3,-0.03%
Jun 16 2017 12:00,97.371,97.371,97.201,97.281,-9,-0.09%
Jun 16 2017 11:00,97.261,97.391,97.241,97.381,12,0.12%
Jun 16 2017 10:00,97.321,97.321,97.251,97.271,-5,-0.05%
Jun 16 2017 09:00,97.297,97.327,97.227,97.327,3,0.03%
Jun 16 2017 08:00,97.328,97.348,97.288,97.308,-2,-0.02%
Jun 16 2017 07:00,97.417,97.417,97.307,97.317,-10,-0.10%
Jun 16 2017 06:00,97.47,97.49,97.36,97.41,-6,-0.06%
Jun 16 2017 05:00,97.48,97.5,97.44,97.48,0,0.00%
Jun 16 2017 04:00,97.462,97.502,97.452,97.472,1,0.01%
Jun 16 2017 03:00,97.422,97.452,97.412,97.452,3,0.03%
Jun 16 2017 02:00,97.387,97.437,97.377,97.407,2,0.02%
Jun 16 2017 01:00,97.379,97.409,97.369,97.399,2,0.02%
Jun 16 2017 00:00,97.432,97.462,97.382,97.392,-4,-0.04%
Jun 15 2017 20:00,97.441,97.461,97.401,97.441,0,0.00%
Jun 15 2017 19:00,97.389,97.449,97.349,97.449,6,0.06%
Jun 15 2017 18:00,97.469,97.469,97.379,97.379,-9,-0.09%
Jun 15 2017 17:00,97.43,97.48,97.41,97.48,5,0.05%
Jun 15 2017 16:00,97.387,97.477,97.377,97.437,5,0.05%
Jun 15 2017 15:00,97.387,97.417,97.337,97.377,-1,-0.01%
Jun 15 2017 14:00,97.388,97.498,97.378,97.398,1,0.01%
Jun 15 2017 13:00,97.349,97.409,97.329,97.379,3,0.03%
Jun 15 2017 12:00,97.228,97.378,97.218,97.358,13,0.13%
Jun 15 2017 11:00,97.2,97.29,97.13,97.24,4,0.04%
Jun 15 2017 10:00,97.261,97.271,97.201,97.231,-3,-0.03%
Jun 15 2017 09:00,97.128,97.278,97.098,97.268,14,0.14%
Jun 15 2017 08:00,97.017,97.137,97.007,97.117,10,0.10%
Jun 15 2017 07:00,96.918,97.088,96.908,97.008,9,0.09%
Jun 15 2017 06:00,96.869,96.969,96.849,96.909,4,0.04%
Jun 15 2017 05:00,96.852,96.902,96.842,96.862,1,0.01%
Jun 15 2017 04:00,96.827,96.857,96.827,96.837,1,0.01%
Jun 15 2017 03:00,96.879,96.889,96.829,96.839,-4,-0.04%
Jun 15 2017 02:00,96.848,96.878,96.828,96.868,2,0.02%
Jun 15 2017 01:00,96.857,96.877,96.787,96.857,0,0.00%
Jun 15 2017 00:00,96.86,96.92,96.83,96.87,1,0.01%
Jun 14 2017 20:00,96.851,96.881,96.811,96.851,0,0.00%
Jun 14 2017 19:00,96.89,97.06,96.81,96.86,-3,-0.03%
Jun 14 2017 18:00,96.388,96.918,96.268,96.878,49,0.51%
Jun 14 2017 17:00,96.412,96.492,96.402,96.432,2,0.02%
Jun 14 2017 16:00,96.378,96.458,96.358,96.418,4,0.04%
Jun 14 2017 15:00,96.381,96.431,96.321,96.391,1,0.01%
Jun 14 2017 14:00,96.441,96.461,96.251,96.371,-7,-0.07%
Jun 14 2017 13:00,96.497,96.497,96.357,96.447,-5,-0.05%
Jun 14 2017 12:00,97.021,97.031,96.471,96.491,-53,-0.55%
Jun 14 2017 11:00,96.979,97.039,96.979,97.009,3,0.03%
Jun 14 2017 10:00,96.959,96.999,96.949,96.989,3,0.03%
Jun 14 2017 09:00,96.932,96.982,96.902,96.952,2,0.02%
Jun 14 2017 08:00,96.897,96.937,96.877,96.937,4,0.04%
Jun 14 2017 07:00,96.83,96.9,96.82,96.89,6,0.06%
Jun 14 2017 06:00,96.86,96.91,96.8,96.82,-4,-0.04%
Jun 14 2017 05:00,96.889,96.909,96.869,96.869,-2,-0.02%
