Date,Open,High,Low,Close,Change (Pips),Change (%)
Jul 04 2017 21:00,6.8037,6.80584,6.8037,6.80543,17.3,0.03%
Jul 04 2017 20:00,6.80512,6.80536,6.8051,6.80528,1.6,0.00%
Jul 04 2017 19:00,6.80578,6.80578,6.805,6.80504,-7.4,-0.01%
Jul 04 2017 17:00,6.8057,6.80578,6.80535,6.80576,0.6,0.00%
Jul 04 2017 16:00,6.8055,6.80706,6.8055,6.80573,2.3,0.00%
Jul 04 2017 15:00,6.80539,6.80649,6.80501,6.80548,0.9,0.00%
Jul 04 2017 14:00,6.8058,6.8059,6.80448,6.80538,-4.2,-0.01%
Jul 04 2017 13:00,6.8066,6.80736,6.80554,6.80582,-7.8,-0.01%
Jul 04 2017 12:00,6.80575,6.8069,6.80569,6.80661,8.6,0.01%
Jul 04 2017 11:00,6.80561,6.80828,6.80494,6.80571,1,0.00%
Jul 04 2017 10:00,6.80588,6.80702,6.80422,6.80559,-2.9,0.00%
Jul 04 2017 09:00,6.80359,6.80663,6.80347,6.80596,23.7,0.03%
Jul 04 2017 08:00,6.79863,6.80411,6.7984,6.8036,49.7,0.07%
Jul 04 2017 07:00,6.79559,6.79958,6.7953,6.79858,29.9,0.04%
Jul 04 2017 06:00,6.79989,6.80139,6.79389,6.7956,-42.9,-0.06%
Jul 04 2017 05:00,6.79675,6.80107,6.79662,6.79988,31.3,0.05%
Jul 04 2017 04:00,6.7961,6.79771,6.79608,6.79678,6.8,0.01%
Jul 04 2017 03:00,6.79814,6.79867,6.79552,6.79609,-20.5,-0.03%
Jul 04 2017 02:00,6.79817,6.79999,6.79706,6.79817,0,0.00%
Jul 04 2017 01:00,6.7957,6.80249,6.79535,6.79822,25.2,0.04%
Jul 04 2017 00:00,6.79506,6.79708,6.79356,6.79572,6.6,0.01%
Jul 03 2017 23:00,6.79487,6.79617,6.79486,6.795,1.3,0.00%
Jul 03 2017 22:00,6.79466,6.79487,6.79429,6.79485,1.9,0.00%
Jul 03 2017 21:00,6.79366,6.79527,6.79366,6.79465,9.9,0.01%
Jul 03 2017 20:00,6.79411,6.79641,6.79364,6.79485,7.4,0.01%
Jul 03 2017 19:00,6.79716,6.79763,6.79332,6.7942,-29.6,-0.04%
Jul 03 2017 18:00,6.79841,6.79842,6.79726,6.79726,-11.5,-0.02%
Jul 03 2017 17:00,6.79766,6.79854,6.79766,6.7984,7.4,0.01%
Jul 03 2017 16:00,6.79688,6.79768,6.79642,6.79764,7.6,0.01%
Jul 03 2017 15:00,6.79645,6.79821,6.79617,6.79701,5.6,0.01%
Jul 03 2017 14:00,6.79467,6.79749,6.79467,6.79644,17.7,0.03%
Jul 03 2017 13:00,6.79411,6.79604,6.79263,6.79474,6.3,0.01%
Jul 03 2017 12:00,6.79606,6.79649,6.79277,6.79412,-19.4,-0.03%
Jul 03 2017 11:00,6.79419,6.79656,6.79273,6.79595,17.6,0.03%
Jul 03 2017 10:00,6.79617,6.79697,6.79379,6.79418,-19.9,-0.03%
Jul 03 2017 09:00,6.79316,6.79659,6.79225,6.79621,30.5,0.04%
Jul 03 2017 08:00,6.78655,6.79417,6.78554,6.79316,66.1,0.10%
Jul 03 2017 07:00,6.78353,6.78698,6.7821,6.78651,29.8,0.04%
Jul 03 2017 06:00,6.78402,6.78646,6.78128,6.78349,-5.3,-0.01%
Jul 03 2017 05:00,6.78123,6.7841,6.7803,6.78405,28.2,0.04%
Jul 03 2017 04:00,6.77962,6.78125,6.77962,6.78124,16.2,0.02%
Jul 03 2017 03:00,6.78174,6.78207,6.77699,6.77965,-20.9,-0.03%
Jul 03 2017 02:00,6.78197,6.7857,6.78035,6.78175,-2.2,0.00%
Jul 03 2017 01:00,6.77515,6.78279,6.77379,6.78196,68.1,0.10%
Jul 03 2017 00:00,6.77624,6.77625,6.77267,6.77524,-10,-0.01%
Jul 02 2017 23:00,6.77991,6.77995,6.77588,6.77621,-37,-0.05%
Jul 02 2017 22:00,6.77931,6.77976,6.77906,6.77975,4.4,0.01%
Jul 02 2017 21:00,6.7791,6.7794,6.7791,6.7794,3,0.00%
Jun 30 2017 20:00,6.77936,6.77989,6.77776,6.77783,-15.3,-0.02%
Jun 30 2017 19:00,6.78008,6.78108,6.77934,6.77934,-7.4,-0.01%
Jun 30 2017 18:00,6.77837,6.78016,6.77822,6.7801,17.3,0.03%
Jun 30 2017 17:00,6.77674,6.77864,6.77663,6.77835,16.1,0.02%
Jun 30 2017 16:00,6.77999,6.7804,6.77675,6.77677,-32.2,-0.05%
Jun 30 2017 15:00,6.78033,6.7812,6.7769,6.78,-3.3,0.00%
Jun 30 2017 14:00,6.7834,6.78344,6.78002,6.78039,-30.1,-0.04%
